overall,functionality,code_quality,testing,execution,documentation,dependencies,security,vcs
0,0,,0,0,0,0,0,
33,10,30,10,15,60,60,60,20
28,10,20,0,2,60,40,70,20
34,8,35,5,10,45,65,80,25
28,12,30,5,10,40,40,60,25
30,10,35,5,10,35,50,65,30
34,15,40,5,10,40,60,78,25
37,15,65,5,10,40,65,70,25
32,15,45,5,10,35,45,75,25
41,15,45,10,10,35,40,70,25
33,12,65,0,10,35,45,70,25
38,15,80,0,15,40,60,70,25
36,15,85,0,10,30,50,80,15
49,20,75,,10,25,60,85,25
35,15,70,5,10,45,50,70,15
40,15,76,5,10,40,65,80,30
40,18,88,5,5,35,70,70,25
50,15,85,5,10,35,70,70,25
45,20,82,5,15,60,70,80,25
